dataset_id,dataset_name,owner_organization_id,direct_url,download_url,access_type,format,approximate_size_gb,episodes_or_trajectories,hours,tasks,environments,robot_platforms,geographic_coverage,start_date,end_date,release_date,update_date,license,commercial_use_status,registration_required,api_available,maintenance_status,provenance_notes
DS-001,Open X-Embodiment,ORG-009,https://robotics-transformer-x.github.io,https://github.com/google-deepmind/open_x_embodiment,public_download,RLDS;TFDS,5000,1000000,,500,500,multiple,Global,2023-01-01,2023-10-15,2023-10-15,2024-06-01,Apache 2.0;varies,per_component,false,true,active,Aggregated from 60 datasets across 34 labs; component licenses vary
DS-002,DROID,ORG-010,https://droid-dataset.github.io,https://huggingface.co/datasets/droid-dataset/droid,public_download,RLDS;TFDS,176,76000,350,86,564,WidowX;Franka,Global,2022-09-01,2023-09-01,2024-01-30,2024-06-01,MIT,allowed,false,true,active,Distributed collection by 50 collectors across 3 regions
DS-003,BridgeData V2,ORG-011,https://rail-berkeley.github.io/bridgedata,https://rail-berkeley.github.io/bridgedata,public_download,JPEG;PNG;pickle;RLDS,300,60096,,13,24,WidowX,North America,2021-06-01,2022-08-01,2023-07-01,2024-03-01,MIT,allowed,false,false,active,Low-cost WidowX tabletop manipulation
DS-004,NVIDIA BridgeData2 LeRobot Conversion,ORG-005,https://huggingface.co/datasets/nvidia/BridgeData2_LeRobot_v3,https://huggingface.co/datasets/nvidia/BridgeData2_LeRobot_v3,gated,Parquet;MP4,300,60096,,13,24,WidowX,North America,2021-06-01,2022-08-01,2024-09-01,2025-03-01,MIT,allowed,true,true,active,Conversion of BridgeData V2 to LeRobot format
DS-005,RoboNet,ORG-012,https://arxiv.org/abs/1910.11215,,public_download,HDF5,15,162000,,7,,multiple,Global,2018-01-01,2019-10-15,2019-10-15,2022-01-01,BSD-3-Clause,allowed,false,false,uncertain,Multi-lab multi-robot experience repository; older dataset
DS-006,RH20T,ORG-011,https://rh20t.github.io,,request_access,HDF5,20000,,,700,1000,multiple,Asia,2022-01-01,2023-06-01,2023-06-01,2024-12-01,CC BY-NC 4.0,restricted,true,false,active,20TB-scale multimodal robotic dataset; contact-rich manipulation
DS-007,LeRobot Ecosystem,ORG-006,https://github.com/huggingface/lerobot,https://huggingface.co/datasets,streaming,Parquet;MP4,,,,16,1000,multiple,Global,2024-01-01,2026-09-01,2024-04-01,2026-09-01,varies,per_component,true,true,active,16000+ datasets from 2200+ contributors in LeRobotDataset format
DS-008,AgiBot World,ORG-026,https://www.agibot.com/world,https://huggingface.co/datasets/agibot-world,public_download,HDF5;RLDS,50,1001552,2976,217,1000,AgiBot humanoid,China,2024-06-01,2025-12-01,2025-12-01,2026-03-01,CC BY-NC,restricted,true,true,active,100 robots in 4000 m2 Shanghai facility; 3000+ objects
DS-009,EgoDex,ORG-030,https://arxiv.org/abs/egodex,,public_download,MP4;Parquet,2,338000,829,194,,Apple Vision Pro,Global,2025-01-01,2026-03-01,2026-03-01,2026-06-01,CC BY 4.0,allowed,false,false,active,Captured using Apple Vision Pro; egocentric dexterous manipulation data
DS-010,GR00T N1 Training Data,ORG-005,https://www.nvidia.com/groot,,gated,RLDS;TFDS,10,780000,6500,50,,multiple,Global,2024-06-01,2025-03-01,2025-03-01,2026-01-01,Proprietary,restricted,true,true,active,88 real hours expanded to 827 hours; DexMimicGen synthetic trajectories
DS-011,Gemini Robotics Training Data,ORG-019,https://deepmind.google/blog/gemini-robotics,,request_access,HDF5,,0,3000,,10,multiple,Global,2024-03-01,2025-03-01,2025-03-01,2026-01-01,Proprietary,restricted,true,false,active,Thousands of hours of action data collected over 12 months
DS-012,Figure Index,ORG-001,https://www.figure.ai/blog/index,,request_access,Proprietary,,,1000,373,116,Figure humanoid,Global,2025-01-01,2026-03-01,2026-03-01,2026-09-01,Proprietary,restricted,true,false,active,373 tasks per 1000 hours; 1146 objects; 116 environments
DS-013,Figure Helix Training Data,ORG-001,https://www.figure.ai/blog/helix,,request_access,Proprietary,,,500,68,,multiple,US,2024-06-01,2025-02-01,2025-02-20,2026-06-01,Proprietary,restricted,true,false,active,500 hours teleoperated behavior; multi-robot multi-operator
