organization_id,legal_name,trading_name,organization_type,headquarters_country,headquarters_city,operating_regions,robotics_segment,website,status,last_verified_date,description
ORG-001,Figure AI Inc.,Figure AI,foundation_model_developer,US,Sunnyvale,North America,humanoid,https://www.figure.ai,active,2026-09-18,Humanoid robotics company developing VLA models; confirmed user of teleoperated demonstration data
ORG-002,Physical Intelligence Inc.,Physical Intelligence,foundation_model_developer,US,San Francisco,North America,manipulation,https://www.physicalintelligence.company,active,2026-09-18,Robot foundation model developer; trains on ~10000 hours of demonstrations
ORG-003,Skild AI Inc.,Skild AI,foundation_model_developer,US,Pittsburgh,North America,manipulation,https://www.skild.ai,active,2026-09-18,Robot foundation model company; uses teleoperation and video demonstrations
ORG-004,Toyota Research Institute,TRI,research_lab,US,Los Altos,North America,humanoid;manipulation,https://www.tri.global,active,2026-09-18,Research lab training Large Behavior Models on teleoperated robot data
ORG-005,NVIDIA Corporation,NVIDIA,robot_oem,US,Santa Clara,Global,manipulation;simulation,https://www.nvidia.com,active,2026-09-18,Provides simulation platforms and dataset conversion tooling for robot learning
ORG-006,Hugging Face Inc.,Hugging Face,dataset_provider,US,New York,Global,manipulation,https://huggingface.co,active,2026-09-18,Hosts LeRobot ecosystem with 16K+ standardized robot datasets
ORG-007,Claru,Claru,data_services_provider,US,,Global,manipulation;humanoid,https://www.claru.ai,active,2026-09-18,VLA training data provider through egocentric video capture and managed teleoperation
ORG-008,Nexdata Inc.,Nexdata,data_services_provider,US,,Global,manipulation;service,https://www.nexdata.ai,active,2026-09-18,Physical-AI data solutions provider; claims 10000+ hours of teleoperation data
ORG-009,Open X-Embodiment Consortium,Open X-Embodiment,consortium,US,,Global,manipulation,https://robotics-transformer-x.github.io,active,2026-09-18,Cross-embodiment robot dataset consortium; 1M+ trajectories from 34 labs
ORG-010,Stanford University,Stanford DROID,research_lab,US,Stanford,North America,manipulation,https://droid-dataset.github.io,active,2026-09-18,Distributed robot manipulation dataset; 76K teleoperated demonstrations
ORG-011,University of California Berkeley,UC Berkeley,research_lab,US,Berkeley,North America,manipulation,https://rail-berkeley.github.io/bridgedata,active,2026-09-18,BridgeData V2 dataset; 60K+ trajectories across 24 environments
ORG-012,Microsoft Corporation,Microsoft Research,research_lab,US,Redmond,Global,manipulation,https://www.microsoft.com,active,2026-09-18,Research lab releasing BridgeData-compatible manipulation trajectories
ORG-013,1X Technologies,1X,foundation_model_developer,NO,Moss,North America;Europe,humanoid,https://www.1x.tech,active,2026-09-18,Humanoid robotics company; developing embodied AI models
ORG-014,Agility Robotics Inc.,Agility Robotics,robot_oem,US,Albany,North America,humanoid,https://agilityrobotics.com,active,2026-09-18,Bipedal humanoid robot manufacturer (Digit)
ORG-015,Apptronik Inc.,Apptronik,robot_oem,US,Austin,North America,humanoid,https://apptronik.com,active,2026-09-18,Humanoid robotics company (Apollo)
ORG-016,Sanctuary Cognitive Systems Corporation,Sanctuary AI,robot_oem,CA,Vancouver,North America,humanoid,https://sanctuary.ai,active,2026-09-18,Humanoid robotics company (Phoenix); developing Carbon AI control system
ORG-017,Boston Dynamics,Boston Dynamics,robot_oem,US,Waltham,North America,manipulation;mobile,https://www.bostondynamics.com,active,2026-09-18,Robot manufacturer (Spot Atlas Stretch); acquired by Hyundai
ORG-018,Covariant,Covariant,foundation_model_developer,US,Berkeley,North America,manipulation,https://covariant.ai,active,2026-09-18,Robot foundation model developer (RFM-1); warehouse manipulation focus
