event_id,organization_id,event_date,discovery_date,signal_type,claim_text,source_url,source_type,source_publisher,primary_source_flag,evidence_strength,confidence_score,extraction_method,review_status
EVT-001,ORG-001,2025-02-20,2026-09-18,teleoperation_collection,Figure states Helix was trained using a high-quality multi-robot multi-operator dataset of roughly 500 hours of diverse teleoperated behaviors including multi-operator collection curation filtering auto-generated natural-language conditioning and operator-standardization work,https://www.figure.ai/blog/helix,company_page,Figure AI,true,direct,5,manual_review,verified
EVT-002,ORG-001,2025-02-20,2026-09-18,teleoperation_collection,Figure stated that just eight hours of well-curated demonstration data could generate a capable policy for the tested logistics use case and described retaining appropriate corrective behavior while excluding slow missed or operator-error demonstrations,https://www.figure.ai/blog/helix,company_page,Figure AI,true,direct,5,manual_review,verified
EVT-003,ORG-001,2025-06-15,2026-09-18,teleoperation_collection,Figure reported that Helix 02 whole-body controller used over 1000 hours of joint-level retargeted human-motion data,https://www.figure.ai/blog/helix-02,company_page,Figure AI,true,direct,5,manual_review,verified
EVT-004,ORG-001,2026-03-10,2026-09-18,dataset_release,Figure announced Index described as a global-scale dataset of human behavior; reports that each 1000 hours contains 373 unique tasks 1146 objects and 116 environments,https://www.figure.ai/blog/index,company_page,Figure AI,true,direct,5,manual_review,verified
EVT-005,ORG-002,2024-10-31,2026-09-18,teleoperation_collection,Physical Intelligence pi0 paper states training mixture contains about 10000 hours of demonstrations uses open-source OXE data and includes proprietary dexterous manipulation datasets across seven robot configurations and 68 tasks,https://www.physicalintelligence.company/blog/pi0,company_page,Physical Intelligence,true,direct,5,manual_review,verified
EVT-006,ORG-002,2024-10-31,2026-09-18,model_launch,Physical Intelligence states that pi0 training uses open-source robot manipulation datasets and its own dataset from dexterous tasks across eight robot platforms,https://www.physicalintelligence.company/blog/pi0,company_page,Physical Intelligence,true,direct,5,manual_review,verified
EVT-007,ORG-002,2025-03-15,2026-09-18,publication,Physical Intelligence states that robot foundation models primarily use manually collected demonstrations including teleoperation and frames demonstrations as the mechanism for defining new behaviors,https://www.physicalintelligence.company/blog/foundation-models,company_page,Physical Intelligence,true,direct,4,manual_review,verified
EVT-008,ORG-003,2024-12-10,2026-09-18,publication,Skild describes teleoperation as the prevailing strategy for collecting precise motor torque sequences and reports fine-tuning from video demonstrations with less than one hour of robot data in one setting,https://www.skild.ai/blog,company_page,Skild AI,true,direct,4,manual_review,verified
EVT-009,ORG-004,2024-11-05,2026-09-18,job_posting,TRI Large Behavior Models internship announcement explicitly says its models are trained on teleoperated robot data in-the-wild human demonstrations images text and video,https://www.tri.global/careers,job_post,Toyota Research Institute,true,direct,4,manual_review,verified
EVT-010,ORG-007,2025-08-20,2026-09-18,data_services_offering,Claru product page describes 10000+ contributors for egocentric collection and managed teleoperation on client hardware with delivery in RLDS WebDataset HDF5 or LeRobot-compatible forms,https://www.claru.ai,company_page,Claru,true,direct,4,web_extraction,verified
